"Name","PriceRange","Address"
"Hilton Garden Inn Baltimore White Marsh","$135 - $193*","5015 Campbell Blvd, Baltimore, MD 21236 "
"Hotel Monaco Seattle - a Kimpton Hotel","$184 - $345*"," 1101 Fourth Avenue, Seattle, WA 98101  "
"Warwick Seattle Hotel","$129 - $228*"," 401 Lenora Street, Seattle, WA 98121  "
"Hotel Seattle","$96 - $118*"," 315 Seneca St., Seattle, WA 98101  "
"Inn at the Market","$199 - $299*"," 86 Pine St., Seattle, WA 98101  "
"Kings Inn","$80 - $119*"," 2106 Fifth Ave., Seattle, WA 98121  "
"Ace Hotel","$109 - $217*"," 2423 First Ave., Seattle, WA 98121  "
"Crowne Plaza Seattle Downtown Area","$179 - $253*"," 1113 Sixth Avenue, Seattle, WA 98101  "
"Inn at Queen Anne","$85 - $130*"," 505 First Ave. N, Seattle, WA 98102  "
"Inn at Virginia Mason","$138 - $138*"," 1006 Spring St., Seattle, WA 98104  "
"MarQueen Hotel","$132 - $207*"," 600 Queen Anne Ave. N., Seattle, WA 98109  "
"Mayflower Park","$172 - $242*"," 405 Olive Way, Seattle, WA 98101  "
"Moore Hotel","$67 - $198*"," 1926 2nd Avenue, Seattle, WA 98101  "
"Miauw Suites","$257 - $257*","Hartenstraat 36, Amsterdam 1016 CC, The Netherlands "
"Executive Hotel Pacific","$111 - $176*"," 400 Spring St., Seattle, WA 98104  "
"Renaissance Seattle Hotel","$195 - $284*"," 515 Madison Street, Seattle, WA 98104  "
"Hilton Seattle","$177 - $264*"," 1301 6th Avenue, Seattle, WA 98101-2304  "
"Quality Inn & Suites Seattle","$105 - $174*"," 618 John Street, Seattle, WA 98109  "
"Sheraton Seattle Hotel","$201 - $314*"," 1400 Sixth Ave, Seattle, WA 98101  "
"Sixth Avenue Inn","$109 - $205*"," 2000 Sixth Ave., Seattle, WA 98121  "
"Hotel Andra","$215 - $357*"," 2000 4th Ave, Seattle, WA 98121  "
"Prime Hotel Principe Torlonia","$133 - $1,313*","Via Carlo Fea 5, 00161 Rome, Italy "
"The Edgewater Hotel Seattle","$223 - $403*"," 2411 Alaskan Way, Pier 67, Seattle, WA 98121  "
"The Sorrento Hotel","$176 - $285*"," 900 Madison St., Seattle, WA 98104  "
"The Westin Seattle","$177 - $329*"," 1900 5th Ave., Seattle, WA 98101  "
"Travelodge Seattle by the Space Needle","$97 - $205*"," 200 6th Avenue North, Seattle, WA 98109  "
"Travelodge Seattle University","$88 - $141*"," 4725 25th Avenue NE, Seattle, WA 98105  "
"Domus Ester","$82 - $178*","Via S Salvatore In Campo 38, 00186 Rome, Italy "
"University Inn","$112 - $194*"," 4140 Roosevelt Way NE, Seattle, WA 98105  "
"Seattle Pacific Hotel","$85 - $128*"," 325 Aurora Ave N, Seattle, WA 98109  "
"Hotel Vintage Park - a Kimpton Hotel","$154 - $322*"," 1100 Fifth Avenue, Seattle, WA 98101  "
"W Seattle","$199 - $346*"," 1112 4th Ave., Seattle, WA 98101  "
"Hotel Max","$137 - $217*"," 620 Stewart Street, Seattle, WA 98101  "
"Roosevelt Hotel","$149 - $279*"," 1531 Seventh Avenue, Seattle, WA 98101  "
"Doubletree by Hilton Seattle Airport","$110 - $190*"," 18740 International Boulevard, Seattle, WA 98188  "
"Econo Lodge SeaTac Airport","$58 - $82*"," 13910 International Blvd., (Old Pacific Hwy S), Seattle, WA 98168  "
"Embassy Suites Seattle - Tacoma International Airport","$117 - $219*"," 15920 West Valley Hwy., Seattle, WA 98188  "
"Hampton Inn Seattle Airport","$111 - $168*"," 19445 International Blvd., Seattle, WA 98188  "
"Marriott Seattle Sea-Tac Airport","$156 - $259*"," 3201 S 176th Street, Seattle, WA 98188  "
"Quality Inn Sea-Tac Airport","$75 - $96*"," 2900 S 192nd St., Seattle, WA 98188 (Formerly Travelodge) "
"Hilton Seattle Airport & Conference Center","$119 - $224*"," 17620 Pacific Highway South, Seattle, WA 98188  "
"Radisson Hotel Seattle Airport","$102 - $177*"," 18118 International Boulevard, Seattle, WA 98188  "
"Gonen Hotel","$77 - $225*","Fethibey Caddesi, Zeynepkamil Sokak No 24 | Laleli, Istanbul 34134, Turkey "
"Seven Sands Hotel Apartments","$109 - $980*"," P.O.Box 20313 Al Barsha, Dubai 20313, United Arab Emirates  "
"Lindemann's","$66 - $1,245*","Potsdamer Strasse 171-173, 10783 Berlin, Germany "
"Hotel Le Crystal","$234 - $285*","1100 rue de la montagne, Montreal, Quebec H3G 0A1, Canada "
"BEST WESTERN Grand City Hotel Berlin Mitte","$59 - $198*","Osloer Strasse 116a, 13359 Berlin, Germany "
"Hotel Colonial","0","1007145.json"
"Locanda delle Corse","$104 - $153*","Via Appia Nuova 1260, 00178 Rome, Italy "
"Destiny Palms Hotel Maingate West","$45 - $68*","8536 Irlo Bronson Memorial Hwy, Kissimmee, FL 34747 "
"Secrets Maroma Beach Riviera Cancun","$390 - $825*"," Carretera Federal Cancun - Puerto Juarez | Km 306.5 S/N Punta Maroma, Playa del Carmen CP 77710, Mexico  "
"Hotel East Houston","$228 - $396*"," 151 East Houston Street, New York City, NY 10002  "
"Hilton Garden Inn Baltimore Inner Harbor","$175 - $306*","625 South President Street, Baltimore, MD "
"Boutique Hotel Trevi","$208 - $433*","Via delle Muratte 90/92, 00187 Rome, Italy "
"Eurostars BCN Design","$219 - $551*","Passeig de Gracia 29, 08007 Barcelona, Spain "
"Barcelo Castellana Norte","$63 and up*","Avenida de Manoteras 20, 28050 Madrid, Spain "
"Fragrance Hotel - Sunflower","$54 - $64*","10 Lorong 10 Geylang, Singapore 399043, Singapore "
"Hotel Eris","0","Istasyon ArkasI SokagI No 9 | Sirkeci, Istanbul 34420, Turkey "
"Hotel Alux","$50 - $56*"," Calle 14 Norte | Entre Avenidas 10 y 15, Playa del Carmen, Mexico  "
"Comfort Suites Indianapolis","$103 - $115*"," 4125 Kildeer Drive, Indianapolis, IN 46237  "
"Comfort Suites City Centre","$114 - $182*"," 515 S West Street, Indianapolis, IN 46225  "
"Hostal Splendid","$42 and up*","Gran Via 15, 50A., 28013 Madrid, Spain "
"El Dorado Maroma, a Beachfront Resort, by Karisma","$423 - $526*"," Carretera Cancun-Tulum Km 55.3 | Maroma beach, Playa del Carmen 77710, Mexico  "
"London Visitors Hotel","$95 - $238*"," 42-44 Holland Road, London W14 8BB, England  "
"Contemporaneo Rooms","$73 - $158*","Via dell'Esquilino 38, 00185 Rome, Italy "
"CineMusic Hotel","$99 - $210*","Via Tuscolana 128, 00182 Rome, Italy "
"Foro Romano Imperatori","$92 - $1,320*","Via Cavour 294, 00184 Rome, Italy "
"Hilton San Diego Bayfront","$148 - $450*"," 1 Park Boulevard, San Diego, CA 92101  "
"Hotel Treasure Island","$108 - $141*","Carr. 172 Interior Kilometer 13.5 | Barrio. Bayamon, Cidra 00739, Puerto Rico "
"Gezi Hotel Bosphorus","$236 - $458*","Mete Cd. No:34 | Taksim Square, Istanbul 34437, Turkey "
"Meininger City Hostel & Hotel Senefelder Platz","$59 - $155*","Schoenhauser Allee 19, 10435 Berlin, Germany "
"Hyatt Regency Maui Resort and Spa","$260 - $546*"," 200 Nohea Kai Drive, Kaanapali Beach Resort, Lahaina, Maui, HI 96761-1985  "
"Ka'anapali Beach Hotel","$166 - $246*"," 2525 Kaanapali Pkwy, Lahaina, Maui, HI 96761  "
